"","x0","fx.n_100","fx.n_1000","fx.true"
"1321",8.2,0.0524505069132875,0.0508680148297641,0.0499091552119149
"1322",8.21,0.0522486556601471,0.0506454673596487,0.0496765124503908
"1323",8.22,0.0520471296076869,0.0504236843894781,0.0494444047269139
"1324",8.23,0.0518459233849743,0.0502026610574383,0.0492128346874519
"1325",8.24,0.0516450335318236,0.049982391970977,0.0489818049477145
"1326",8.25,0.0514444585768966,0.0497628712333961,0.0487513180931786
"1327",8.26,0.0512441990797019,0.0495440924718049,0.0485213766791159
"1328",8.27,0.0510442576362344,0.0493260488663464,0.0482919832306216
"1329",8.28,0.0508446388487578,0.0491087331805973,0.0480631402426449
"1330",8.29,0.050645349260953,0.0488921377930304,0.0478348501800208
"1331",8.3,0.0504463972603434,0.0486762547294149,0.0476071154775034
"1332",8.31,0.0502477929505228,0.0484610756960202,0.0473799385398012
"1333",8.32,0.050049547996262,0.0482465921134783,0.0471533217416129
"1334",8.33,0.0498516754450303,0.0480327951511505,0.0469272674276661
"1335",8.34,0.0496541895288363,0.0478196757618377,0.0467017779127561
"1336",8.35,0.0494571054505637,0.0476072247166678,0.0464768554817868
"1337",8.36,0.0492604391591395,0.0473954326399903,0.0462525023898133
"1338",8.37,0.0490642071179379,0.0471842900441037,0.0460287208620857
"1339",8.38,0.0488684260707773,0.0469737873636475,0.0458055130940939
"1340",8.39,0.0486731128097315,0.0467639149894842,0.0455828812516146
"1341",8.4,0.0484782839487395,0.0465546633019102,0.0453608274707593
"1342",8.41,0.0482839557066854,0.0463460227030331,0.0451393538580238
"1343",8.42,0.048090143703223,0.046137983648166,0.0449184624903387
"1344",8.43,0.0478968627701696,0.0459305366760976,0.0446981554151224
"1345",8.44,0.0477041267807879,0.0457236724381093,0.0444784346503341
"1346",8.45,0.0475119484987341,0.045517381725623,0.0442593021845291
"1347",8.46,0.0473203394478893,0.0453116554963804,0.0440407599769152
"1348",8.47,0.0471293098037247,0.0451064848990664,0.0438228099574103
"1349",8.48,0.0469388683062854,0.0449018612963116,0.0436054540267015
"1350",8.49,0.0467490221943443,0.04469777628602,0.0433886940563056
"1351",8.5,0.0465597771597683,0.0444942217209919,0.0431725318886306
"1352",8.51,0.0463711373206851,0.044291189726824,0.0429569693370389
"1353",8.52,0.046183105211638,0.0440886727180913,0.0427420081859116
"1354",8.53,0.0459956817885874,0.043886663412829,0.0425276501907139
"1355",8.54,0.0458088664463569,0.0436851548453514,0.0423138970780625
"1356",8.55,0.0456226570459522,0.0434841403774567,0.0421007505457928
"1357",8.56,0.0454370499490828,0.0432836137080863,0.0418882122630294
"1358",8.57,0.0452520400572175,0.0430835688815136,0.0416762838702557
"1359",8.58,0.0450676208525777,0.0428840002941519,0.0414649669793866
"1360",8.59,0.0448837844386359,0.0426849027000809,0.0412542631738411
"1361",8.6,0.0447005215779255,0.0424862712153947,0.0410441740086165
"1362",8.61,0.0445178217252712,0.0422881013214832,0.0408347010103646
"1363",8.62,0.044335673054921,0.042090388867361,0.0406258456774672
"1364",8.63,0.0441540624804772,0.0418931300711566,0.0404176094801154
"1365",8.64,0.0439729756669798,0.0416963215208782,0.0402099938603871
